Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),595.95,0.00,1197.69,,,,,,606.06,,642.60,658.00,703.66,71.69
Active Decode Throughput Per User (tokens/sec/user),151.09,0.00,1110.89,,,,,,151.70,,161.20,165.61,184.96,15.18
Active Prefill Throughput (tokens/sec),250656.35,65786.60,378581.09,,,,,,286831.69,,325123.20,351730.96,378581.09,83887.80
Active Prefill Throughput Per User (tokens/sec/user),78720.28,65786.60,98094.80,,,,,,76379.01,,91884.40,94645.27,96610.00,7437.03
Active Total Throughput (tokens/sec),16771.41,150.45,378581.09,,,,,,607.19,,610.34,180466.39,313223.44,65087.78
Credit-to-Start Latency (ms),4.61,2.77,14.55,294.79,2.80,3.81,4.11,4.22,4.31,4.44,4.66,6.87,11.11,1.56
Decode Duration (ms),1666.73,1610.20,1683.98,106670.55,1640.43,1658.95,1660.39,1662.36,1667.04,1671.53,1675.65,1679.36,1683.42,9.45
E2E Output Token Throughput (tokens/sec/user),144.07,119.08,147.36,9220.75,131.30,141.38,142.20,143.41,144.69,145.52,146.59,146.89,147.11,3.56
Effective Concurrency,3.98,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.20
Effective Decode Concurrency,3.77,0.00,4.00,,,,,,4.00,,4.00,4.00,4.00,0.88
Effective Decode Throughput (tokens/sec),570.07,0.00,1197.69,,,,,,604.55,,641.72,656.29,702.70,140.24
Effective Decode Throughput Per User (tokens/sec/user),144.53,0.00,1110.89,,,,,,151.33,,160.95,165.28,184.08,34.19
Effective Latency (CO-aware) (ms),1764.48,1741.30,1783.62,112926.92,1742.43,1745.89,1748.85,1759.05,1766.75,1770.70,1775.69,1779.09,1783.58,10.11
Effective Prefill Concurrency,0.21,0.00,4.00,,,,,,0.00,,0.00,2.00,4.00,0.83
Effective Prefill Throughput (tokens/sec),16196.28,0.00,378581.09,,,,,,0.00,,0.00,180161.51,313223.44,65208.05
Effective Prefill Throughput Per User (tokens/sec/user),5086.55,0.00,98094.80,,,,,,0.00,,0.00,73039.93,90080.76,19445.19
Effective Total Throughput (tokens/sec),16766.35,0.00,378581.09,,,,,,607.19,,610.34,180466.39,313223.44,65078.62
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,254.56,225.00,257.00,16292.00,240.12,251.00,252.00,254.00,256.00,257.00,257.00,257.00,257.00,4.21
HTTP Chunks Sent,1.00,1.00,1.00,64.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
